Business Name,Trade Name,License Type,License Number,License Date,County,City,Address,Zip,Phone,Email,Hours of Operation
BIG BUDS DISPENSARY INC,Big Buds Natural Releaf II Dispensary,Dispensary,DAAA-VKRC-CXKF,2022-12-23,Tulsa,SKIATOOK,317 E WC ROGERS BLVD,74070-1205,9189162477,ilikebigbudsnaturalreleaf@gmail.com,8 AM TO 10 PM
"HWY 17 PHARM, LLC","HWY 17 PHARM, LLC",Dispensary,DAAA-5VN0-PCYY,2022-10-25,Sequoyah,SALLISAW,102024 S 4620 RD,74955-7929,4794140807,hwy17pharm@gmail.com,24 Hours
"Health Express 6-T, LLC","Health Express 6-T, LLC",Dispensary,DAAA-FCZL-BTKN,2023-05-11,Garfield,ENID,5515 W OWEN K GARRIOTT RD STE 8,73703-6085,4058080840,daniel@cbdplususa.com,9 a.m. - 9 p.m.
THOMAS RAY SMITH,CANNAISSEURS,Dispensary,DAAA-E1D5-MWOU,2023-04-06,Pittsburg,Hartshorne,901 PENNSYLVANIA AVE. B,74547,9182975707,cz17hmr2@att.net,mon-thurs 10a-7p fri-sat 10a-8p
SB Mayfair LLC,Star Buds Mayfair,Dispensary,DAAA-KQRO-QHT2,2022-10-20,Oklahoma,OKLAHOMA CITY,4000 N MAY AVE,73112-6269,4052426410,licensing@jesglegal.com,8am-12am
"Dynamic Meds OKC, LLC",Dynamic Meds,Dispensary,DAAA-XE92-HYEC,2023-01-09,Oklahoma,OKLAHOMA CITY,329 S BLACKWELDER AVE,73108-1417,(405) 493-9579,info@dynamicmedsokc.com,11:00AM - 7:00PM
"GOLDEN NEKTOR, LLC",GOLDEN NEKTOR,Dispensary,DAAA-5NF6-QJ4F,2023-01-01,Texas,TEXHOMA,705 Cr Q,73949,8063391168,goldennektor@gmail.com,10:00-17:00
Boomtown Dispensary LLC,Boomtown Dispensary,Dispensary,DAAA-PSZ5-O6JZ,2022-11-21,Tulsa,TULSA,1238 W 41ST ST,74107-7014,9187524369,info@getlitcanna.com,"Monday - Friday, 9 AM - 8 PM"
Green Times Enterprises Inc,Healing Plants,Dispensary,DAAA-SQLZ-RQQ7,2023-01-10,Marshall,LEBANON,21699 HIGHWAY 32,73440,4802085244,ruth.reyes11@gmail.com,10am-8pm
Pasolindo LLC,Evergreen Cannabis Collective,Dispensary,DAAA-EJ6K-39DH,2023-08-07,Oklahoma,Oklahoma City,3641 NW 63rd street,73116,4058754013,thepeak63@gmail.com,11-7 M-Sat
J-BAP Industry LLC,B-B Dispensary,Dispensary,DAAA-EXGQ-THXW,2023-01-11,Cleveland,MOORE,741 NW 12TH ST,73160-3606,2147633342,pirpichj@gmail.com,9am-11pm MON-SUNDAY
Mister Mary Jane LLC,Mister Mary Jane,Dispensary,DAAA-EYHY-RZFY,2023-09-29,Stephens,DUNCAN,328 S 81 HWY,73533-2909,5807862076,dixon.harper@gmail.com,10-9
