Business Name,Trade Name,License Type,License Number,License Date,County,City,Address,Zip,Phone,Email,Hours of Operation
"WCW Enterprises, LLC",Lush Kaya Cultivations,Grower,GAAA-EJCM-SZZU,2022-11-13,Creek,BRISTOW,32267 W HIGHWAY 33,74010-2455,7725191823,christina@viridianlegal.com,12a
Green Country MMJ,Green Country MMJ,Grower,GAAA-EJAF-LYRR,2023-07-07,Wagoner,WAGONER,70527 HIGHWAY 69,74467,9182714806,greencountrymmj@gmail.com,9-5
"Gold Leaf Acres, LLC","Gold Leaf Acres, LLC",Grower,GAAA-GXCR-L17E,2023-02-17,Mayes,CHOUTEAU,15000 S 433,74337-5700,6513879457,davidleex23@gmail.com,9:00am-6:00pm
Curl Creek Cannabis LLC,Curl Creek Cannabis,Grower,GAAA-VKIW-O2RF,2022-09-29,Nowata,NOWATA,RR 1 BOX 160,74048-9720,9184402337,pamleehindman1961@gmail.com,6am-6pm
GREEN DEE GROWERS,GREEN DEE GROWERS,Grower,GAAA-OASE-MBGZ,2022-10-20,Haskell,KEOTA,21366 E CR 1185,74941,9188037085,greendeegrowers@gmail.com,9AM-9PM
Golden Top Farms LLC,Golden Top Farms LLC,Grower,GAAA-6NOE-RHGZ,2022-10-18,Le Flore,SPIRO,17063 RHINO RD,74959-4717,9186588010,tward@remax.net,24 hours
NovaSol LLC,Fifth Leaf,Grower,GAAA-VKGS-XX8F,2023-06-19,Oklahoma,OKLAHOMA CITY,2016 SE 18TH ST,73129-8351,8176007826,frankswert@live.com,9:00 am 5:00 pm MTWTF
FOSHEE FARMACEUTICALS,Foshee Farmaceuticals,Grower,GAAA-DOME-SLVG,2022-12-20,Cleveland,NORMAN,2720 24TH AVE NE,73071-7706,(405) 315-5850,foshee6163@icloud.com,9am-2pm
"Loud Factory, LLC","Loud Factory, LLC",Grower,GAAA-IISM-ID6J,2023-02-01,Garvin,STRATFORD,,74872-7086,3053313104,joseph@dg3law.com,9-9
Modern Medicine Grow LLC,Modern Medicine Grow LLC,Grower,GAAA-VDJ2-AIAZ,2023-05-31,Oklahoma,OKLAHOMA CITY,,73118-7516,(405) 225-1200,ltalbert@stocktontalbert.com,9-5
"301 Natural Organics, LLC",301 Natural Organics,Grower,GAAA-VJPA-KNSM,2022-10-17,Rogers,Claremore,13611 South 4230 Road,74017,9189300301,hembreefarm@yahoo.com,9:00am - 5:00 pm
"CRE, LLC",The Hive Collective,Grower,GAAA-KQEG-XSEB,2022-11-28,Oklahoma,OKLAHOMA CITY,235 NW 71ST ST,73116,4058496274,dale.elston@gmail.com,8-4
1997 Development LLC,1997 Development LLC,Grower,GAAA-QIYV-Z16Q,2023-03-20,Stephens,MARLOW,,73055-3842,5805046594,1997developmentok@gmail.com,8-8
"Red Earth Herbals, L.L.C.",Red Earth Herbals,Grower,GAAA-VYBR-OBNK,2022-11-29,Kiowa,Gotebo,10 N 10th,73041,9186919977,suttonjonathanm@gmail.com,8-5
Richard L Schatz,Flying Canna Farm,Grower,GAAA-E1KK-MHEU,2023-02-08,Kay,KAW CITY,11613 E FURGUSON AVE,74641,5807615927,rick.schatz@yahoo.com,9-5
"Lundy Farms, LLC","Lundy Farms, LLC GROW",Grower,GAAA-SWPU-DQ1P,2022-10-13,Muskogee,MUSKOGEE,3200 E 47TH ST S,74403-9123,9183482344,lundberg.chad@yahoo.com,M-F 9-5
"The True Heads Cannabis Cultivation, LLC","The True Heads Cannabis Cultivation, LLC",Grower,GAAA-4YP1-NEMY,2022-10-18,Muskogee,MUSKOGEE,7210 OLD TAFT RD,74401-8620,7703694237,jamesstyres@hotmail.com,8:00 a.m. - 8:00 p.m.
Jirrel Archie,Mile Away Farms,Grower,GAAA-NDIP-THD2,2023-04-10,McCurtain,VALLIANT,10688 STATE HIGHWAY 98,74764-5426,5804331629,jirrel2@gmail.com,5a.m. - 5 p.m.
Burnin Daylight Farms Incorporated,Burnin Daylight Farms Incorporated,Grower,GAAA-IEB9-G2GI,2022-12-20,Cleveland,NORMAN,6505 120TH AVE NE,73026-9714,4056232141,burnmoredaylight@gmail.com,10-5
KMHT BROS LLC,KMHT BROS LLC,Grower,GAAA-BXS4-FJVD,2022-12-08,Logan,EDMOND,11844 S SOONER RD,73034,4054084217,lemongrassgreenllc@gmail.com,6:00AM-18:00PM
Beaver's Bud Farm,Beaver's Bud Farm,Grower,GAAA-VYQF-4NZ8,2022-12-08,Pottawatomie,ASHER,37519 ACME RD,74826-3295,4058868255,beaversbudfarm@gmail.com,7:00 A.M.- 7:00 P.M.
Directseed Distribution LLC,Highlander Herb,Grower,GAAA-KHPD-TKMT,2022-09-26,Cleveland,NORMAN,3501 WELLSITE DR,73069-8310,4053610989,directseedok@gmail.com,8:00am - 5:00pm
TKH Growers,TKH Growers,Grower,GAAA-ZFNI-HXTW,2023-02-01,Le Flore,BOKOSHE,29414 PRAIRIE BELL RD,74930-2269,4797392634,kendrahaddox19@gmail.com,8-5
CannaBaxter Farms LLC,CannaBaxter Farms LLC,Grower,GAAA-8YZK-ODL9,2022-10-16,Pottawatomie,PRAGUE,9074 NS 3510 RD,74864-1188,4054349263,pbaxter1056@gmail.com,24
Happy Valley Growers LLC,Happy Valley Growers LLC,Grower,GAAA-VAP3-BOUI,2023-05-05,Pawnee,CLEVELAND,25 N HAPPY VALLEY RD,74020-5405,9186055429,happyvalleygrowers@gmail.com,0700 to 1900
MR. BUDS L.L.C.,MR. BUDS L.L.C.,Grower,GAAA-FD8L-HRDB,2022-09-26,Pushmataha,ANTLERS,414321 E 1940 RD,74523-1476,5802711185,fairlessmisty@yahoo.com,8:00 AM - 8:00 PM
"DS Farm, LLC",DS Farm,Grower,GAAA-ABEE-JNSA,2022-07-31,Logan,COYLE,11450 E COUNTY ROAD 73,73027-0240,3059241971,dsfarmmanagement@gmail.com,8am to 8pm
Red Starz LLC,Red Starz LLC,Grower,GAAA-XLLM-X7BK,2022-12-25,Delaware,ROSE,7849 US HIGHWAY 412,74364-1027,9184430844,leengia@hotmail.com,24 hours
Pontotoc Prime Supply LLC,Blue Face Farms,Grower,GAAA-W3C2-MZ99,2023-03-20,Pontotoc,ADA,6401 STATE HIGHWAY 3W,74820-4504,3147076963,growgo580@gmail.com,9:00am to 5:00pm
"OZMOS 8820 GL, LLC","OZMOS 8820 GL, LLC",Grower,GAAA-P0QH-ZVAM,2022-10-19,Bryan,MEAD,8820 US 70,73449-5522,2092078241,matthewdpetz@gmail.com,9pm to 5am
"Road Dawgs Cannabis, LLC",Road Dawgs Cannabis,Grower,GAAA-YRMQ-PSHS,2023-06-19,Oklahoma,Oklahoma City,14519 NE 122ND ST,73049-8301,4053512952,roaddawgscannabis@gmail.com,9am-5pm
"THE SandT CLUB, LLC","THE SandT CLUB, LLC",Grower,GAAA-UC6H-KQRY,2023-06-26,Pottawatomie,MACOMB,29185 GADDY RD,74852,4059854098,steven_le02@yahoo.com,9:00AM-5:00 PM Monday-Friday
"Texoma Cultivation, LLC","Texoma Cultivation, LLC",Grower,GAAA-41DF-FANU,2022-12-18,Marshall,MADILL,100 S 2ND AVE,73446,5806779333,wermwould@gmail.com,"M-F 10am to 7pm, Sat 10:30am to 7pm, Closed Sun"
SUPER ANG LLC,Super Ang LLC,Grower,GAAA-DAG8-UBM4,2023-05-16,Le Flore,SPIRO,21481 BAILEY RD,74959-3761,9183154082,angkeovilavong@yahoo.com,8-5
Kuremen Company LLC,Kuremen Company LLC,Grower,GAAA-CQAS-ESA2,2022-10-05,Okmulgee,OKMULGEE,500C S KERN AVE,74447-4222,8327308115,hpjohnson08@gmail.com,8:00am - 6:00pm
"Castio Farms, LLC","Castio Farms, LLC",Grower,GAAA-4K8P-NCLC,2022-09-28,Kay,PONCA CITY,5477 E HUBBARD RD,74604-7126,(201) 674-9972,a.fonseca@castio-farms.com,24 hours
CONDEMOR LLC,CONDEMOR LLC,Grower,GAAA-SPXB-LSZI,2022-10-19,Stephens,FOSTER,166418 N 3010 RD,73434-1726,4434721567,condemor369@gmail.com,9-6
Mule Barn Buds LLC,Mule Barn Buds LLC,Grower,GAAA-FLHK-WURX,2023-02-01,Creek,MANNFORD,34580 W 31ST ST S,74044-6338,9184048341,mulebarnbuds@gmail.com,8am-5pm
"WADE ACRES, LLC",WADE ACRES,Grower,GAAA-N1QK-U3K5,2022-11-08,McCurtain,EAGLETOWN,690 WYR 22254 RD,74734-5044,5418058393,wadeacresllc@gmail.com,9-5 M-F
FERG Farms LLC,Flip Cannabis Company,Grower,GAAA-LBNE-DJ3U,2023-05-30,Stephens,DUNCAN,7015 RED ROBIN RD,73533-6401,5808604167,daniel@flipflower.supply,7AM-7PM
Wolfpack Farms LLC,Wolfpack Farms LLC,Grower,GAAA-VAEZ-UI76,2022-09-19,Logan,Edmond,,73025,7327424234,wolfpack.ok21@gmail.com,9am-6pm
Mary Jane Clone House LLC,MJCH,Grower,GAAA-V1NN-VIJG,2022-06-26,Cleveland,MOORE,2990 SE 19TH ST,73160-9660,4057359777,darrell.carnes@gmail.com,9AM to 7PM
GandW Grower LLC,GandW Grower LLC,Grower,GAAA-VYS6-GDT9,2022-12-27,Hughes,HOLDENVILLE,2485 N 374 RD,74848-9715,5802353815,christina@viridianlegal.com,12a
Rising Altitude LLC,Craft Cannabis Company,Grower,GAAA-4K7T-M9Q3,2022-12-12,Oklahoma,OKLAHOMA CITY,5201 N COUNCIL RD,73132,4057896969,tonyldavis@msn.com,9:00am to 5:00pm
"CaliYield Farms, LLC","CaliYield Farms, LLC",Grower,GAAA-7JOC-SNMN,2022-11-10,Cleveland,MOORE,2641 N SHIELDS BLVD,73160-3302,8183980888,caliyield@gmail.com,9am-5pm
"Tranquilo Enterprises, LLC","Tranquilo Enterprises, LLC",Grower,GAAA-NUXY-CHKH,2023-07-25,Tulsa,TULSA,5202 W 31ST ST,74107-4202,(405) 881-5596,simonvalderrama15@gmail.com,08:00AM-08:00PM
"Redwood Street Cultivation, LLC",Redwood Street Cultivation,Grower,GAAA-BHLX-2BCC,2022-12-08,Carter,WILSON,430 REDWOOD ST,73463-6566,4125008099,redwoodstreetcultivation@gmail.com,9-5
"L. Farms Operations, LLC",L. Farms Operations,Grower,GAAA-VJ0M-8ASU,2023-07-17,Washita,SENTINEL,12763 N 2050 RD,73664-9639,(702) 521-1999,mairalex34@hotmail.com,M-F 11-7
"OTOC GROUP, LLC",OTOC GROUP,Grower,GAAA-PFU0-2KKE,2022-12-11,McIntosh,CHECOTAH,109252 OLD HIGHWAY 69,74426-5803,9189263579,vanessa@moazezilaw.com,9:00 AM - 5:00 PM
Simple Beginnings LLC,Simple Beginnings LLC,Grower,GAAA-41PO-PXUK,2022-11-14,Cherokee,HULBERT,7241 N 465 RD,74441-4067,9188223032,jenifermitchell@yahoo.com,M-F 9:00am-5:00pm
"COYOTE OPERATING, LLC",COYOTE OPERATING,Grower,GAAA-8U6Z-LQCB,2022-05-12,Latimer,wilburton,,74578,(918) 308-0497,coyoteoperatingllc@gmail.com,8-5 MON-FRI
Dean's Oklahoma Cannabis LLC,Dean's Oklahoma Cannabis LLC,Grower,GAAA-EKL0-TPNI,2022-08-14,Marshall,KINGSTON,5350 ENOS RD,73439-4474,5805640485,deanoklacannabis@gmail.com,Mon-Sun 10-6 As Needed
Hellen’s Hemp House LLC,Hellen’s Hemp House LLC,Grower,GAAA-PKRJ-8G6J,2023-05-12,Osage,TULSA,5131 W 64TH PL N,74126-4332,9186444329,jalainateel@gmail.com,3-6
Goody's Greens LLC,Goody's Greens LLC,Grower,GAAA-41M2-VTRE,2022-12-15,Cleveland,NEWALLA,19806 S DOBBS RD,74857-8550,4055433868,kelsyzaby@yahoo.com,mon-friday 10am-3pm
4T PHARMA LLC,4T PHARMA LLC,Grower,GAAA-4Y9A-ZPOT,2023-07-26,Tulsa,GLENPOOL,1119 E 151ST ST SUITE 110-117,74033,(405) 426-9926,licenseandpermit@gmail.com,8am - 5pm
"QuocThanh, LLC",QuocThanh,Grower,GAAA-39IB-KAHY,2022-10-24,Hughes,Holdenville,3239 NS 369 Rd,74848,(504) 615-6575,quocthanhllc@outlook.com,8:00:00 AM - 5:00:00 PM M- F
Stars and Stripes Grow LLC,Stars and Stripes,Grower,GAAA-41RW-BBYL,2022-11-06,Cleveland,NOBLE,4701 THUNDER LANE AVE,73068-6318,4052551334,thomaswgoodwiniii@gmail.com,10:00 a.m. to 8:00 p.m.
REFA LLC,REFA LLC,Grower,GAAA-I9VK-XYXW,2022-11-22,Woodward,Mooreland,,73852,5802735010,refallc40@gmail.com,24/7
Jackson cultivating LLC,Jackson cultivating,Grower,GAAA-JNXX-KYVJ,2023-09-19,Creek,SAPULPA,13100 S 209TH WEST AVE,74066-7535,9182319488,jacksoncultivating@aol.com,6:00 pm - 6:00 am
"Grassman Growers, LLC","Grassman Growers, LLC",Grower,GAAA-4K7D-EGDU,2022-09-25,Love,MARIETTA,10797 ALLEN RD,73448-1932,4054788885,grassmangrowers1968@gmail.com,10-4
High Horse Organics LLC,High Horse Organics LLC,Grower,GAAA-PDUB-3CYJ,2022-11-14,Grady,BLANCHARD,2029 COUNTY ROAD 1300,73010,4054213188,josh15037@gmail.com,9:00am to 5:00pm
"So Fresh and So Green, LLC","So Fresh and So Green, LLC",Grower,GAAA-4JML-ZNMV,2022-11-21,McClain,NEWCASTLE,417 SNOW DR,73065-5059,7205035753,amanda.a.viereck@gmail.com,9-5
LDP GREEN IMPORTS LLC,LDP Green Imports LLC,Grower,GAAA-KGBM-FQWI,2022-08-24,Kiowa,HOBART,22026 E 1370 RD,73651,5805302356,dalepadgett@sbcglobal.net,9:00am to 5:00pm monday thru saturday
Helios Gardens LLC,Helios Gardens,Grower,GAAA-1MKH-P3XF,2023-02-13,Cherokee,TAHLEQUAH,15413 W 790 RD,74464-7350,7022244555,heliosgardenllc@gmail.com,7a-6p
Red Sun LLC,Red Sun LLC,Grower,GAAA-UEGA-I2YR,2023-06-19,Custer,Clinton,,73601-3620,(580) 821-6437,redsunllc@outlook.com,7am-6pm
"DP Buds, LLC",DP Buds,Grower,GAAA-XDD5-58BC,2023-02-08,Muskogee,Fort Gibson,,74434-7907,9186943797,dpbudspenny@outlook.com,8 to 5 M to F
G & L Farms LLC,G & L FARMS,Grower,GAAA-4JKR-RKTN,2023-09-12,Major,FAIRVIEW,248523 E COUNTY ROAD 52,73737-5663,(918) 810-6360,g_lfarms001@yahoo.com,8am to 5pm
"True Heights Cultivation Holdings, LLC","True Heights Cultivation Holdings, LLC",Grower,GAAA-EYZM-OI9L,2023-03-23,Canadian,YUKON,,73099-6880,(682) 269-0900,anna.arnove@gmail.com,9:00am-5:00pm
