Business Name,Trade Name,License Type,License Number,License Date,County,City,Address,Zip,Phone,Email,Hours of Operation
TURNER LOVE LLC,TURNER LOVE LLC,Processor,PAAA-AIPV-DIXF,2022-12-27,Love,BURNEYVILLE,5920 PIKE ROAD,73430,9723221677,turnerlovebud@gmail.com,10AM-6PM
Kannagene LLC,Kannagene,Processor,PAAA-LYU9-PB2E,2023-06-12,Tulsa,TULSA,3158 S 108TH EAST AVE,74146-1683,(225) 571-7133,subbiah.ayyappan@kannagene.com,8AM - 5 PM
Brown Irish Solutions,Brown Irish Solutions,Processor,PAAA-EJUX-VLZ8,2022-06-20,Beckham,SAYRE,19344 E 1180 RD,73662-6013,8066837236,jump71master@yahoo.com,M-F 0900-1700
"The Medical Joint Dispensary, LLC","The Medical Joint Dispensary, LLC",Processor,PAAA-XSY1-ZROU,2022-11-08,McCurtain,BROKEN BOW,1615 S PARK DR,74728-5724,5802122434,medicaljoint@yahoo.com,Monday thru Saturday: 10 AM - 9 PM; Sunday: 10 AM - 4 PM
"D9 Processing, LLC","D9 Processing, LLC",Processor,PAAA-E132-PGD7,2023-01-13,Tulsa,TULSA,1427 E 4TH ST,74120-3427,8183834800,christina@viridianlegal.com,12a
Ouchie Edibles Llc,Ouchie Edibles Llc,Processor,PAAA-BWN1-MKNR,2022-11-13,Muskogee,Boynton,119 S Miller St,74422-0001,9183617806,ouchieediblesllc@gmail.com,8am-5pm
"C & A Services, LLC","C & A Services, LLC",Processor,PAAA-GKL6-5RDJ,2023-06-13,Osage,HOMINY,1226 S SHE SHE AVE,74035-6516,9187795309,miranda2456@yahoo.com,9:00 am - 6:00 pm
"Evo Distribution Company, LLC","Evo Distribution Company, LLC",Processor,PAAA-VJME-7GGA,2022-12-14,Tulsa,BROKEN ARROW,1914 W RENO ST,74012-1473,9186085818,tik@evolutiononline.com,"9am-5:30pm, Mon - Friday"
Good Green Co. LLC,Crimson and Gold Processing,Processor,PAAA-TRKM-AC3I,2022-10-31,Garvin,Wynnewood,40822 HWY-29,73098,4053319824,james.allen.goodgreenco@gmail.com,10am to 9 5 p.m. Monday - Sunday
"Back 40 Investments, LLC",REDBILLY BRAND,Processor,PAAA-5KIN-O2G3,2023-10-20,Adair,Westville,470990 E 650 rd,74965,9189300301,brokeneggllc@gmail.com,9:00am - 5:00 pm
"Cajun Hash Company, LLC",Cajun Hash Company,Processor,PAAA-ECB6-U9C0,2022-11-15,Bryan,Durant,1819 Cemetery Rd,74701,(720) 245-5274,cajunhashcompany@gmail.com,8-5
"Konza Oklahoma Processors, LLC","Konza Oklahoma Processors, LLC",Processor,PAAA-3MKO-TRG9,2022-10-25,Logan,Guthrie,7535 East Oak Hill Road,73044,7852008344,okprocessors@konzaconnection.com,Sunday - Saturday 8:00 a.m.- 5:00 p.m.
Lucky's Natural Products,Lucky's Natural Products LLC,Processor,PAAA-9SIC-ICHS,2022-11-28,Pushmataha,Ft Towson,194237 Oklahoma 147,74735-6602,2147185867,luckysnaturalproducts@gmail.com,10 AM - 8 PM
Heat Labs LLC,Heat labs LLC,Processor,PAAA-EFSX-G9M0,2022-12-07,Tulsa,SKIATOOK,106 1/2 E ROGERS BLVD,74070-1248,9185814166,phillips.heat@gmail.com,9:00am - 5:00pm
The High Roller LLC,LUCKY ROLLERS,Processor,PAAA-LDKU-9QVK,2022-10-25,Garfield,ENID,1318 N 10TH ST,73701-2459,(918) 606-2300,greggiser@gmail.com,Monday - Friday 9am - 5pm
"Alice's Restaurant, LLC",Two Twisted Girls,Processor,PAAA-MIHK-U3UN,2022-11-14,Washita,Corn,211 W Main St,73024,5807726297,bbocd50@gmail.com,12a
"S&M's Dope Processing, LLC",Dope Brothers,Processor,PAAA-J8YH-LPEP,2023-06-20,Garfield,ENID,917 W THOMPSON AVE,73701-8062,5802970618,dopeprocessing.info@gmail.com,24/7
"FLAZOK, LLC","FLAZOK, LLC",Processor,PAAA-N1VP-VSZ8,2023-02-28,Tulsa,TULSA,,74110-4636,9186977803,charles.wilkin@wilkinlawfirm.com,24 hours
Sweet Exchange LLC,Sweet Exchange LLC,Processor,PAAA-BHDB-2ACU,2023-03-29,Stephens,Marlow,402 South 1st Street,73055,(580) 251-0636,mark@pgmprocessing.com,Monday-Saturday 8:00a.m.-8:00p.m.
"Golden Grams, LLC","Golden Grams, LLC",Processor,PAAA-KCOI-5INZ,2022-12-12,Pontotoc,ADA,13805 COUNTY ROAD 3500,74820-3348,8184867777,mgankin@gmail.com,8-5
"Empire Labs, LLC","Empire Labs, LLC",Processor,PAAA-N1TB-MWRI,2023-08-18,Pottawatomie,SHAWNEE,,74804-9558,(405) 256-4104,empirerisingok@gmail.com,7am-8pm
"Growing Green Dreams, LLC","Growing Green Dreams, LLC",Processor,PAAA-SXOW-MGYY,2022-12-21,Grady,CHICKASHA,3610 S 4TH ST,73018-7506,4058929608,dreamsgreen2020@gmail.com,9:00 a.m. to 5:00 p.m. Monday through Friday
PHB Growers LLC,Marivana,Processor,PAAA-VYEI-ZBGT,2022-11-06,Mayes,PRYOR,1100 W GRAHAM AVE,74361,9188642375,chris@pryortruss.com,9:00 AM to 4:00 PM
Hemp-Park Cannabis Company LLC,Hemp-Park Cannabis Company LLC,Processor,PAAA-VYNI-BAHE,2022-12-18,Bryan,COLBERT,393 CUMMINS LN,74733-5502,9037442446,aparker458@yahoo.com,9-5
Golden Summer LLC,Golden Summer,Processor,PAAA-LE66-Q4CF,2023-03-31,McClain,Lindsay,,73052,8152769418,sergiocaguilar@gmail.com,9:00am to 5:00pm
"Avant Labs, LLC","Avant Labs, LLC",Processor,PAAA-4227-9BUA,2022-09-12,Tulsa,GLENPOOL,15075 S ELWOOD AVE,74033-4044,3104147219,licenseandpermit@gmail.com,Sunday - Saturday 8:00 a.m.- 5:00 p.m.
OG GREENHOUSE LLC,OG GREENHOUSE,Processor,PAAA-TXVX-CUCV,2022-09-22,Cherokee,HULBERT,4025 W 730 RD,74441-2096,3053330522,oggreenhousellc@gmail.com,9AM-7PM
"Justus Farms, LLC","Justus Farms, LLC",Processor,PAAA-T5RT-5EFO,2023-02-01,Pottawatomie,Tecumseh,23147 E Hill Dr,74873-6410,4053430943,justusgrow@gmail.com,9am-5pm
"EVERGREEN EVOLUTION (OK), LLC","EVERGREEN EVOLUTION (OK), LLC",Processor,PAAA-HKKY-GNRZ,2023-03-14,Bryan,DURANT,9291 W HIGHWAY 70,74701-6510,4695628720,danderton@cncllc.org,8 AM TO 5 PM
Element 115,Element 115,Processor,PAAA-LW3D-MNNU,2022-12-20,McClain,PURCELL,21789 BRYANT AVE,73080-4445,4054262050,mike_c3651@yahoo.com,9am - 4 pm mon-thursday
"Sugar Lane Extract, LLC",GRAND DIAMONDS,Processor,PAAA-SXKP-8TDL,2022-11-14,Mayes,Vinita,446593 e 350 rd unit #3,74301,7205206676,marthalarson918@yahoo.com,8
J-RAG LLC,J-RAG LLC,Processor,PAAA-YUXX-PE1Y,2022-11-14,McClain,LINDSAY,18859 COUNCIL AVE,73052-3494,4057566795,jraggrowers@gmail.com,9 AM-7 PM
"Izzy Dizzy, LLC","Izzy Dizzy, LLC",Processor,PAAA-X0XK-7U8M,2023-08-02,Muskogee,Boynton,,74422,(817) 913-7531,michael@gloluv.com,8-5 M-F
"Under Pressure Entities, LLC","Under Pressure Entities, LLC",Processor,PAAA-UWSF-95WU,2023-06-26,Washita,DILL CITY,,73641-4129,7175826021,carolyn@okiepremium.com,12a
"Red River Reefer, LLC",RED RIVER REEFER,Processor,PAAA-N19H-JNQH,2022-10-10,Cleveland,NOBLE,16200 E MAGUIRE RD,73068-6800,9723585400,licenseandpermit@gmail.com,11-3
Stealth Business Solutions LLC,Stealth Business Solutions LLC,Processor,PAAA-EKVB-JPC9,2023-02-24,Oklahoma,EDMOND,29 W 7TH ST,73003-5766,4056405633,stealthbusinesssolutions@gmail.com,M-F 8-5
Two Dope Boys Processing LLC,Two Dope Boys,Processor,PAAA-EYV9-XWDZ,2023-03-27,Murray,SULPHUR,3200 COMANCHE RD,73086,5802475656,stevenjmcdonald77@gmail.com,8am-6pm Tues WED THURS
Dover Brothers Incorporated,Dover Brothers Incorporated,Processor,PAAA-H6UZ-KWWO,2022-11-09,McClain,Newcastle,275 NE 31ST ST,73065,4052107995,bob@doverbrothersinc.com,8am-5pm
Okie Kush Farm LLC,Okie Kush Farm,Processor,PAAA-BL8H-UBID,2022-10-30,Pottawatomie,EARLSBORO,15810 JACK HALL DR,74840-3509,(405) 309-3761,okiekush@yahoo.com,8
Brash Investments LLC,Brash Cannabis,Processor,PAAA-THGT-S6VY,2023-03-08,Oklahoma,Edmond,,73013,4054453115,sales@brashcannabis.com,M - F 9AM - 4PM
"Sunset Processing, Inc.",Sunset Processing,Processor,PAAA-ODMT-HIMH,2022-06-14,Le Flore,SPIRO,19191 US HIGHWAY 59,74959-4891,9186495799,sunsetmedicinals@gmail.com,12 p.m. - 6 p.m.
J&O ENT LLC,Bud Diamonds,Processor,PAAA-EKN5-BSXN,2022-12-12,Oklahoma,GROVE,28994 S 642 Rd,74344-8040,9187913217,jaurrydale@gmail.com,5am-2am
"Cohibud, LLC",Cohibud,Processor,PAAA-HMHI-WVV7,2022-08-31,Love,OVERBROOK,438 LODGE RD,73453-8024,5804650877,cohibudllc@gmail.com,"Monday through Friday, 9:00 a.m. - 5:00 p.m."
"Blue Collar Criminals Collective, LLC","Blue Collar Criminals Collective, LLC",Processor,PAAA-NYYB-XFTV,2023-05-01,Oklahoma,OKLAHOMA CITY,1015 NW 1ST ST,73106-7618,4059920558,dieseldubb@gmail.com,M-F 8AM-8PM
C4EXTRACTS LLC,High Gear,Processor,PAAA-V1BW-598N,2022-12-04,Creek,Kiefer,,74041,9184087246,kathyhartwell@hotmail.com,11-5
"Nature's Haze, LLC",B's Wax and Dab Packs,Processor,PAAA-CHMR-CC4P,2022-10-06,Caddo,Cement,112 W 3rd Street,73017,4055446559,natureshazellc@gmail.com,11am-5pm M-F
"Twista'Fate Farms, LLC",Concentrated Solutions,Processor,PAAA-TBE5-XMLL,2022-11-24,McClain,LINDSAY,19464 LUNA LN,73052,4058123480,crystalmrepose@gmail.com,9-5M-F
Left-Handed Partners LLC,The Left-Handed Partners,Processor,PAAA-7EIX-EF3F,2023-04-18,Love,THACKERVILLE,11315 HIDE-A-WAY RD,73459-5524,8502599313,ron@urbandevnv.com,9:00am-4:00pm
Distilled in Oklahoma LLC,Distilled in Oklahoma LLC,Processor,PAAA-C0MR-MFJV,2023-02-23,Logan,Edmond,1874 W. Simpson Rd.,73034,4054121105,debbiejones57@gmail.com,7:00am to 4:00pm
Humble Wax Co. LLC,Humble Wax Co. LLC,Processor,PAAA-RTPR-1WW0,2022-12-25,Major,RINGWOOD,,73768-9671,(580) 744-9888,bigslam_2015@yahoo.com,11:00 AM - 5:00 PM
Modern Hippy Extracts LLC,918 Ark Extractions,Processor,PAAA-KK7V-B6Z9,2022-12-25,Tulsa,BIXBY,14040 S PEORIA AVE,74008-4886,9185085434,modernhippyok@gmail.com,8am - 5pm
High End Luxury Cannabis LLC,High End Luxury Cannabis,Processor,PAAA-4JZT-QZYC,2023-02-24,Oklahoma,MOORE,9502 S EASTERN AVE,73160-9015,4058899333,tlaward@yahoo.com,10AM-2PM
